,case_identifier,inputstate_2016,healthcov2_2016,educ_2016,marstat_2016,faminc_2016,presvote16post_2016
518,6795356,Kansas,I have private insurance or belong to an HMO.,4-year,Single,"$50,000 - $59,999",Hillary Clinton
519,6796454,Florida,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Divorced,"$40,000 - $49,999",Donald Trump
520,6798602,Tennessee,,Some college,Single,"$60,000 - $69,999",Donald Trump
521,6807464,Florida,,Some college,Divorced,"$30,000 - $39,999",Donald Trump
522,6807473,Tennessee,I have private insurance or belong to an HMO.,4-year,Married,"$120,000 - $149,999",Hillary Clinton
523,6809582,Missouri,I have private insurance or belong to an HMO.,4-year,Married,"$120,000 - $149,999",Hillary Clinton
524,6811052,Virginia,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
525,6811205,Missouri,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Widowed,"$20,000 - $29,999",Donald Trump
526,6811466,Georgia,"I'm covered by a government plan, such as Medicare or Medicaid.",2-year,Married,"$50,000 - $59,999",Hillary Clinton
527,6811826,Texas,I have private insurance or belong to an HMO.,Post-grad,Single,"$80,000 - $99,999",Donald Trump
528,6816686,District of Columbia,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Divorced,"$80,000 - $99,999",Gary Johnson
529,6817205,Maryland,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Widowed,"$60,000 - $69,999",Donald Trump
530,6817520,Michigan,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,"$30,000 - $39,999",Donald Trump
531,6818873,Washington,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Hillary Clinton
532,6823679,Georgia,Other,4-year,Divorced,Prefer not to say,
533,6824687,New York,I have private insurance or belong to an HMO.,Some college,Married,"$60,000 - $69,999",Donald Trump
534,6828023,Idaho,Other,4-year,Married,"$20,000 - $29,999",Donald Trump
535,6830972,Washington,Other,2-year,Married,"$80,000 - $99,999",Donald Trump
536,6834113,Maryland,"I'm covered by a government plan, such as Medicare or Medicaid.",2-year,Widowed,"$40,000 - $49,999",Donald Trump
537,6837512,New York,I have private insurance or belong to an HMO.,High school graduate,Single,"$60,000 - $69,999",Donald Trump
538,6839399,Georgia,I have private insurance or belong to an HMO.,Post-grad,Single,"$120,000 - $149,999",Hillary Clinton
539,6839546,California,I have private insurance or belong to an HMO.,2-year,Divorced,"$50,000 - $59,999",Hillary Clinton
540,6842747,Washington,I have private insurance or belong to an HMO.,2-year,Married,"$150,000 - $199,999",Hillary Clinton
541,6843632,Texas,I have private insurance or belong to an HMO.,Post-grad,Married,"$100,000 - $119,999",Donald Trump
542,6843947,California,I have private insurance or belong to an HMO.,4-year,Married,"$120,000 - $149,999",Hillary Clinton
543,6845414,Oregon,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Married,"$40,000 - $49,999",Hillary Clinton
544,6851144,New Hampshire,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Widowed,"$70,000 - $79,999",Hillary Clinton
545,6851195,Michigan,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Widowed,"$40,000 - $49,999",Hillary Clinton
546,6852332,Wisconsin,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,"$50,000 - $59,999",Donald Trump
547,6854501,Pennsylvania,I have private insurance or belong to an HMO.,High school graduate,Married,"$50,000 - $59,999",Hillary Clinton
548,6858437,Michigan,Other,4-year,Married,Prefer not to say,Donald Trump
549,6858470,California,I have private insurance or belong to an HMO.,2-year,Divorced,"$40,000 - $49,999",Donald Trump
550,6859208,Colorado,I have private insurance or belong to an HMO.,Post-grad,Married,"$80,000 - $99,999",Hillary Clinton
551,6859382,North Carolina,I have private insurance or belong to an HMO.,4-year,Married,"$100,000 - $119,999",Hillary Clinton
552,6859421,Illinois,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Donald Trump
553,6867077,Florida,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Widowed,"$80,000 - $99,999",Hillary Clinton
554,6869258,Connecticut,I have private insurance or belong to an HMO.,Post-grad,Married,"$200,000 - $249,999",Hillary Clinton
555,6871283,Texas,I have private insurance or belong to an HMO.,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
556,6874790,Texas,I have private insurance or belong to an HMO.,High school graduate,Married,"$80,000 - $99,999",Donald Trump
557,6883553,North Carolina,I have private insurance or belong to an HMO.,4-year,Single,Prefer not to say,Hillary Clinton
558,6884540,Washington,I have private insurance or belong to an HMO.,High school graduate,Married,"$60,000 - $69,999",Hillary Clinton
559,6885359,Michigan,I have private insurance or belong to an HMO.,4-year,Married,"$70,000 - $79,999",Hillary Clinton
560,6888440,Michigan,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Donald Trump
561,6889742,Georgia,I have private insurance or belong to an HMO.,High school graduate,Married,"$150,000 - $199,999",Gary Johnson
562,6889964,Florida,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,"$150,000 - $199,999",Hillary Clinton
563,6893948,Utah,I have private insurance or belong to an HMO.,4-year,Married,"$80,000 - $99,999",Hillary Clinton
564,6898460,New Hampshire,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,"$60,000 - $69,999",Hillary Clinton
565,6902309,Florida,I have private insurance or belong to an HMO.,4-year,Married,"$120,000 - $149,999",Hillary Clinton
566,6904286,South Carolina,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,"$30,000 - $39,999",Donald Trump
567,6906398,California,I have private insurance or belong to an HMO.,2-year,Married,"$80,000 - $99,999",Donald Trump
568,6907652,Tennessee,Other,High school graduate,Married,"$70,000 - $79,999",Hillary Clinton
569,6910406,Washington,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Widowed,"$10,000 - $19,999",Donald Trump
570,6910556,Missouri,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Hillary Clinton
571,6911897,Tennessee,,4-year,Domestic partnership,"$40,000 - $49,999",Donald Trump
572,6915224,West Virginia,I have private insurance or belong to an HMO.,Post-grad,Divorced,"$100,000 - $119,999",Hillary Clinton
573,6916046,Colorado,I have private insurance or belong to an HMO.,Some college,Married,"$80,000 - $99,999",Hillary Clinton
574,6917012,Florida,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Donald Trump
575,6918044,North Carolina,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Hillary Clinton
576,6918683,Utah,I have private insurance or belong to an HMO.,4-year,Single,"$70,000 - $79,999",Hillary Clinton
577,6918935,Virginia,I have private insurance or belong to an HMO.,Some college,Married,"$120,000 - $149,999",Donald Trump
578,6919169,Washington,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,"$150,000 or more",Donald Trump
579,6921341,Wisconsin,I have private insurance or belong to an HMO.,Post-grad,Single,"$80,000 - $99,999",Hillary Clinton
580,6923450,Washington,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Divorced,"Less than $10,000",Hillary Clinton
581,6923495,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,"$70,000 - $79,999",Hillary Clinton
582,6924236,Indiana,I have private insurance or belong to an HMO.,4-year,Married,"$100,000 - $119,999",Donald Trump
583,6924272,Florida,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,"$30,000 - $39,999",Donald Trump
584,6925619,Indiana,I have private insurance or belong to an HMO.,4-year,Single,"$80,000 - $99,999",Donald Trump
585,6934139,Georgia,I have private insurance or belong to an HMO.,Post-grad,Married,"$200,000 - $249,999",Other
586,6935420,Virginia,"I'm covered by a government plan, such as Medicare or Medicaid.",2-year,Married,"$10,000 - $19,999",Donald Trump
587,6936440,Florida,,2-year,Married,"$120,000 - $149,999",Donald Trump
588,6938666,Texas,I have private insurance or belong to an HMO.,4-year,Married,"$100,000 - $119,999",Donald Trump
589,6940679,New York,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Married,"$60,000 - $69,999",Donald Trump
590,6940712,Illinois,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Widowed,"$20,000 - $29,999",Hillary Clinton
591,6942347,Florida,I have private insurance or belong to an HMO.,4-year,Married,"$80,000 - $99,999",Hillary Clinton
592,6945584,Florida,I have private insurance or belong to an HMO.,Post-grad,Married,"$150,000 - $199,999",Donald Trump
593,6952640,Colorado,"I'm covered by a government plan, such as Medicare or Medicaid.",2-year,Married,"$100,000 - $119,999",Donald Trump
594,6955115,North Carolina,,Some college,Married,"$10,000 - $19,999",Hillary Clinton
595,6956033,California,Other,Some college,Widowed,"$70,000 - $79,999",Hillary Clinton
596,6956480,Pennsylvania,I have private insurance or belong to an HMO.,4-year,Single,"$60,000 - $69,999",
597,6956483,Massachusetts,I have private insurance or belong to an HMO.,Post-grad,Married,Prefer not to say,Hillary Clinton
598,6957329,Georgia,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Domestic partnership,"$40,000 - $49,999",Hillary Clinton
599,6962816,Pennsylvania,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Single,"$20,000 - $29,999",Donald Trump
600,6968234,Connecticut,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Hillary Clinton
601,6973481,Missouri,,Some college,Divorced,"$70,000 - $79,999",Donald Trump
602,6974507,Alabama,I have private insurance or belong to an HMO.,Post-grad,Married,"$100,000 - $119,999",Donald Trump
603,6980339,Ohio,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,"$20,000 - $29,999",Other
604,6981227,Ohio,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Widowed,Prefer not to say,Hillary Clinton
605,6983129,California,I have private insurance or belong to an HMO.,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
606,6987332,Mississippi,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Widowed,"$30,000 - $39,999",Donald Trump
607,6987941,California,I have private insurance or belong to an HMO.,Post-grad,Married,Prefer not to say,Hillary Clinton
608,6988349,Colorado,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Donald Trump
609,6988958,Florida,I have private insurance or belong to an HMO.,Post-grad,Married,"$120,000 - $149,999",Donald Trump
610,6989135,California,I have private insurance or belong to an HMO.,Post-grad,Widowed,"$350,000 - $499,999",Hillary Clinton
611,6991124,Illinois,I have private insurance or belong to an HMO.,High school graduate,Single,"$40,000 - $49,999",Hillary Clinton
612,6992663,Kansas,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Donald Trump
613,6993758,Idaho,,High school graduate,Single,"Less than $10,000",Donald Trump
614,6994745,Oklahoma,,Some college,Married,Prefer not to say,Donald Trump
615,6995093,Pennsylvania,I have private insurance or belong to an HMO.,Post-grad,Divorced,"$80,000 - $99,999",Hillary Clinton
616,6997247,Florida,I have private insurance or belong to an HMO.,4-year,Divorced,"$50,000 - $59,999",Donald Trump
617,6999632,Colorado,I have private insurance or belong to an HMO.,High school graduate,Married,"$80,000 - $99,999",Donald Trump
618,7004435,California,I have private insurance or belong to an HMO.,Post-grad,Single,"$100,000 - $119,999",Hillary Clinton
619,7005677,North Dakota,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,Prefer not to say,Hillary Clinton
620,7007606,Indiana,I have private insurance or belong to an HMO.,4-year,Married,"$120,000 - $149,999",Hillary Clinton
621,7012856,California,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Donald Trump
622,7013255,Colorado,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,"$50,000 - $59,999",Hillary Clinton
623,7013351,Illinois,I have private insurance or belong to an HMO.,4-year,Married,"$60,000 - $69,999",Hillary Clinton
624,7015448,California,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Widowed,Prefer not to say,Hillary Clinton
625,7016411,Minnesota,I have private insurance or belong to an HMO.,Some college,Single,"$120,000 - $149,999",Hillary Clinton
626,7020659,Washington,I have private insurance or belong to an HMO.,Post-grad,Married,Prefer not to say,Hillary Clinton
627,7021016,California,I have private insurance or belong to an HMO.,High school graduate,Single,"$120,000 - $149,999",Donald Trump
628,7021574,Washington,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Widowed,"$50,000 - $59,999",Hillary Clinton
629,7021901,Arizona,I have private insurance or belong to an HMO.,4-year,Married,"$60,000 - $69,999",Donald Trump
630,7022570,Florida,I have private insurance or belong to an HMO.,4-year,Married,"$100,000 - $119,999",Hillary Clinton
631,7023680,Texas,I have private insurance or belong to an HMO.,High school graduate,Married,"$60,000 - $69,999",Gary Johnson
632,7023821,Pennsylvania,I have private insurance or belong to an HMO.,Post-grad,Married,"$250,000 - $349,999",Hillary Clinton
633,7027343,California,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,"$50,000 - $59,999",Donald Trump
634,7028234,Illinois,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Divorced,"Less than $10,000",Donald Trump
635,7034960,Minnesota,I have private insurance or belong to an HMO.,Post-grad,Married,"$100,000 - $119,999",Donald Trump
636,7038818,Maryland,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,"$100,000 - $119,999",Hillary Clinton
637,7040477,Colorado,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Divorced,"$10,000 - $19,999",Donald Trump
638,7045745,Pennsylvania,Other,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
639,7046522,New Jersey,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Single,"$40,000 - $49,999",Hillary Clinton
640,7046978,Missouri,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Married,"$40,000 - $49,999",Donald Trump
641,7047464,Florida,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,"$70,000 - $79,999",Hillary Clinton
642,7048304,Virginia,I have private insurance or belong to an HMO.,Some college,Divorced,"$50,000 - $59,999",Hillary Clinton
643,7049603,Washington,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Widowed,Prefer not to say,Donald Trump
644,7050185,Oregon,I have private insurance or belong to an HMO.,High school graduate,Widowed,"$30,000 - $39,999",Hillary Clinton
645,7050719,California,I have private insurance or belong to an HMO.,4-year,Married,"$50,000 - $59,999",Hillary Clinton
646,7053953,Florida,I have private insurance or belong to an HMO.,Post-grad,Divorced,"$120,000 - $149,999",Hillary Clinton
647,7056146,Illinois,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Divorced,"Less than $10,000",Hillary Clinton
648,7059575,Texas,I have private insurance or belong to an HMO.,4-year,Married,"$100,000 - $119,999",Donald Trump
649,7059995,Wisconsin,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Donald Trump
650,7060040,Tennessee,I have private insurance or belong to an HMO.,Post-grad,Single,"$80,000 - $99,999",Hillary Clinton
651,7060802,Maryland,"I'm covered by a government plan, such as Medicare or Medicaid.",2-year,Married,"$100,000 - $119,999",Hillary Clinton
652,7061810,California,I have private insurance or belong to an HMO.,2-year,Married,"$150,000 - $199,999",Donald Trump
653,7062380,Texas,I have private insurance or belong to an HMO.,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
654,7062632,Ohio,,High school graduate,Single,"$20,000 - $29,999",Hillary Clinton
655,7064186,Illinois,Don't know,2-year,Single,"$20,000 - $29,999",
656,7065026,Michigan,I have private insurance or belong to an HMO.,High school graduate,Separated,"$80,000 - $99,999",Hillary Clinton
657,7067105,California,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Hillary Clinton
658,7068722,Michigan,I have private insurance or belong to an HMO.,Some college,Married,"$80,000 - $99,999",Hillary Clinton
659,7068797,Louisiana,I have private insurance or belong to an HMO.,4-year,Married,"$80,000 - $99,999",Hillary Clinton
660,7069418,Illinois,I have private insurance or belong to an HMO.,4-year,Married,"$120,000 - $149,999",Donald Trump
661,7069802,Utah,I have private insurance or belong to an HMO.,Some college,Married,Prefer not to say,Gary Johnson
662,7070447,New York,"I'm covered by a government plan, such as Medicare or Medicaid.",2-year,Married,"$80,000 - $99,999",Hillary Clinton
663,7071272,California,I have private insurance or belong to an HMO.,4-year,Married,"$120,000 - $149,999",Hillary Clinton
664,7071353,South Carolina,Other,4-year,Married,Prefer not to say,Jill Stein
665,7071629,Massachusetts,I have private insurance or belong to an HMO.,Post-grad,Single,"$80,000 - $99,999",Hillary Clinton
666,7072997,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Domestic partnership,"$20,000 - $29,999",Hillary Clinton
667,7074968,California,I have private insurance or belong to an HMO.,Post-grad,Married,"$200,000 - $249,999",Donald Trump
668,7076843,Michigan,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Donald Trump
669,7078433,Massachusetts,I have private insurance or belong to an HMO.,High school graduate,Divorced,"$70,000 - $79,999",Donald Trump
670,7078880,Ohio,I have private insurance or belong to an HMO.,Some college,Married,"$100,000 - $119,999",Hillary Clinton
671,7079435,Pennsylvania,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Widowed,"$20,000 - $29,999",Hillary Clinton
672,7081850,Kentucky,I have private insurance or belong to an HMO.,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
673,7082558,Minnesota,I have private insurance or belong to an HMO.,Some college,Married,"$120,000 - $149,999",Hillary Clinton
674,7084649,California,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Hillary Clinton
675,7085711,Utah,I have private insurance or belong to an HMO.,4-year,Widowed,"$50,000 - $59,999",Hillary Clinton
676,7086050,Indiana,Other,Some college,Married,"$50,000 - $59,999",Donald Trump
677,7086215,South Carolina,I have private insurance or belong to an HMO.,4-year,Single,"$70,000 - $79,999",Donald Trump
678,7088777,Massachusetts,I have private insurance or belong to an HMO.,4-year,Single,"$100,000 - $119,999",Hillary Clinton
679,7088897,Kansas,I have private insurance or belong to an HMO.,High school graduate,Married,"$70,000 - $79,999",Donald Trump
680,7089242,Florida,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Divorced,"$100,000 - $119,999",Donald Trump
681,7089452,Florida,I have private insurance or belong to an HMO.,4-year,Married,"$100,000 - $119,999",Donald Trump
682,7091771,California,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Donald Trump
683,7093511,California,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Divorced,Prefer not to say,Hillary Clinton
684,7094159,Illinois,I have private insurance or belong to an HMO.,4-year,Married,"$120,000 - $149,999",Hillary Clinton
685,7095569,Connecticut,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Other
686,7096844,Pennsylvania,I have private insurance or belong to an HMO.,High school graduate,Separated,"$70,000 - $79,999",Donald Trump
687,7097345,Minnesota,Don't know,Post-grad,Married,"$50,000 - $59,999",Hillary Clinton
688,7103381,Virginia,I have private insurance or belong to an HMO.,4-year,Single,"$70,000 - $79,999",Hillary Clinton
689,7105757,Texas,I have private insurance or belong to an HMO.,4-year,Married,"$50,000 - $59,999",Hillary Clinton
690,7108094,Texas,I have private insurance or belong to an HMO.,4-year,Married,"$50,000 - $59,999",Donald Trump
691,7108484,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Separated,"$30,000 - $39,999",Hillary Clinton
692,7111211,New York,"I'm covered by a government plan, such as Medicare or Medicaid.",No HS,Married,"$40,000 - $49,999",Hillary Clinton
693,7114166,Mississippi,I have private insurance or belong to an HMO.,Some college,Married,"$200,000 - $249,999",Other
694,7114211,California,I have private insurance or belong to an HMO.,Post-grad,Married,"$60,000 - $69,999",Donald Trump
695,7115888,Oklahoma,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Widowed,"$40,000 - $49,999",Donald Trump
696,7116545,New York,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Single,"$20,000 - $29,999",Hillary Clinton
697,7116722,Pennsylvania,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,"$50,000 - $59,999",Donald Trump
698,7120775,Texas,I have private insurance or belong to an HMO.,Post-grad,Married,"$200,000 - $249,999",Hillary Clinton
699,7123196,Ohio,I have private insurance or belong to an HMO.,Post-grad,Domestic partnership,"$50,000 - $59,999",Hillary Clinton
700,7124990,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Married,"$60,000 - $69,999",Donald Trump
701,7129205,Kansas,I have private insurance or belong to an HMO.,2-year,Married,"$120,000 - $149,999",Other
702,7133975,Virginia,I have private insurance or belong to an HMO.,Some college,Married,"$60,000 - $69,999",Donald Trump
703,7138538,California,I have private insurance or belong to an HMO.,Post-grad,Widowed,"$40,000 - $49,999",Hillary Clinton
704,7139108,Idaho,I have private insurance or belong to an HMO.,2-year,Married,"$80,000 - $99,999",Hillary Clinton
705,7145036,Massachusetts,I have private insurance or belong to an HMO.,Post-grad,Single,"$120,000 - $149,999",Hillary Clinton
706,7145672,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Widowed,"$40,000 - $49,999",Hillary Clinton
707,7147328,Wisconsin,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Married,"$80,000 - $99,999",Hillary Clinton
708,7147793,New York,Other,High school graduate,Married,"$50,000 - $59,999",Donald Trump
709,7150619,Florida,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Divorced,"$50,000 - $59,999",Donald Trump
710,7151696,Indiana,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Married,"$60,000 - $69,999",Donald Trump
711,7163000,Michigan,I have private insurance or belong to an HMO.,Some college,Single,"$30,000 - $39,999",Hillary Clinton
712,7167731,South Carolina,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,Prefer not to say,Hillary Clinton
713,7167779,New York,I have private insurance or belong to an HMO.,2-year,Married,"$30,000 - $39,999",Gary Johnson
714,7173446,Minnesota,Other,4-year,Single,"$30,000 - $39,999",Gary Johnson
715,7174508,Massachusetts,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Married,"$120,000 - $149,999",Donald Trump
716,7174616,Illinois,I have private insurance or belong to an HMO.,High school graduate,Married,"$40,000 - $49,999",Donald Trump
717,7175705,Maryland,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Divorced,"$80,000 - $99,999",Hillary Clinton
718,7176104,Minnesota,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Donald Trump
719,7179560,Texas,I have private insurance or belong to an HMO.,Post-grad,Married,"$100,000 - $119,999",Donald Trump
720,7180295,Pennsylvania,I have private insurance or belong to an HMO.,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
721,7180541,Arizona,,Post-grad,Married,"$10,000 - $19,999",Donald Trump
722,7180742,Kentucky,I have private insurance or belong to an HMO.,4-year,Married,"$100,000 - $119,999",Donald Trump
723,7181369,Washington,I have private insurance or belong to an HMO.,High school graduate,Married,Prefer not to say,Donald Trump
724,7181723,Florida,"I'm covered by a government plan, such as Medicare or Medicaid.",2-year,Married,"$50,000 - $59,999",Hillary Clinton
725,7184228,New Jersey,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 or more",Hillary Clinton
726,7184933,Missouri,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Married,"$40,000 - $49,999",Donald Trump
727,7190807,Arkansas,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Married,"$50,000 - $59,999",Donald Trump
728,7191407,Texas,,4-year,Single,"$40,000 - $49,999",Donald Trump
729,7195112,Michigan,I have private insurance or belong to an HMO.,High school graduate,Married,"$50,000 - $59,999",Donald Trump
730,7195811,Alabama,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Married,"$80,000 - $99,999",Hillary Clinton
731,7200755,Florida,I have private insurance or belong to an HMO.,4-year,Married,"$120,000 - $149,999",Hillary Clinton
732,7201940,Florida,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,Prefer not to say,Donald Trump
733,7205339,California,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,Prefer not to say,Hillary Clinton
734,7205729,Virginia,I have private insurance or belong to an HMO.,High school graduate,Divorced,"$10,000 - $19,999",Donald Trump
735,7210940,Pennsylvania,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Widowed,"$20,000 - $29,999",Donald Trump
736,7213580,Oregon,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,"$100,000 - $119,999",Donald Trump
737,7217276,Georgia,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Married,"$20,000 - $29,999",Donald Trump
738,7217453,California,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Widowed,Prefer not to say,Donald Trump
739,7219424,California,I have private insurance or belong to an HMO.,Post-grad,Married,"$70,000 - $79,999",Other
740,7221770,Florida,I have private insurance or belong to an HMO.,Some college,Married,"$120,000 - $149,999",Donald Trump
741,7225211,Wisconsin,I have private insurance or belong to an HMO.,Post-grad,Single,"$40,000 - $49,999",Hillary Clinton
742,7225301,Wisconsin,I have private insurance or belong to an HMO.,High school graduate,Married,"$50,000 - $59,999",Jill Stein
743,7226315,Texas,I have private insurance or belong to an HMO.,Some college,Married,"$70,000 - $79,999",Hillary Clinton
744,7228472,Michigan,I have private insurance or belong to an HMO.,Some college,Married,"$80,000 - $99,999",Donald Trump
745,7228844,South Carolina,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Hillary Clinton
746,7229177,Ohio,I have private insurance or belong to an HMO.,Post-grad,Married,"$80,000 - $99,999",Donald Trump
747,7235489,Iowa,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Hillary Clinton
748,7236719,California,I have private insurance or belong to an HMO.,Some college,Married,"$200,000 - $249,999",Hillary Clinton
749,7236959,South Dakota,I have private insurance or belong to an HMO.,High school graduate,Single,"$20,000 - $29,999",Other
750,7237163,California,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Single,"$20,000 - $29,999",Donald Trump
751,7239488,Washington,I have private insurance or belong to an HMO.,4-year,Married,"$100,000 - $119,999",Hillary Clinton
752,7244537,Indiana,I have private insurance or belong to an HMO.,Some college,Single,"$20,000 - $29,999",Hillary Clinton
753,7245023,California,"I'm covered by a government plan, such as Medicare or Medicaid.",2-year,Single,"Less than $10,000",Hillary Clinton
754,7246118,Massachusetts,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Domestic partnership,"$80,000 - $99,999",Hillary Clinton
755,7249286,California,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Married,"$200,000 - $249,999",Donald Trump
756,7251437,Minnesota,I have private insurance or belong to an HMO.,Post-grad,Married,"$100,000 - $119,999",Donald Trump
757,7253435,Indiana,I have private insurance or belong to an HMO.,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
758,7254104,New Hampshire,I have private insurance or belong to an HMO.,4-year,Married,"$250,000 - $349,999",Hillary Clinton
759,7254224,Tennessee,Other,4-year,Widowed,"$250,000 - $349,999",
760,7259804,Kentucky,Other,Post-grad,Divorced,"$80,000 - $99,999",Hillary Clinton
761,7262378,Ohio,I have private insurance or belong to an HMO.,2-year,Married,"$100,000 - $119,999",Donald Trump
762,7262747,New Jersey,I have private insurance or belong to an HMO.,Post-grad,Divorced,"$200,000 - $249,999",Donald Trump
763,7264718,North Carolina,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Married,"$10,000 - $19,999",Donald Trump
764,7266593,Connecticut,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
765,7270616,Idaho,I have private insurance or belong to an HMO.,High school graduate,Single,Prefer not to say,Hillary Clinton
